,thredds_link,latitude,longitude
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201903.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201812.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201811.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201810.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201809.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201808.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201807.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201806.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201805.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201804.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201803.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201802.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201801.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201712.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201711.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201710.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201709.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201708.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201707.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201706.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201705.nc,41.38610076904297,-73.95500183105469
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201704.nc,41.38600158691406,-73.9552993774414
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201703.nc,41.38600158691406,-73.9552993774414
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201702.nc,41.38600158691406,-73.9552993774414
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201701.nc,41.38600158691406,-73.9552993774414
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201612.nc,41.38600158691406,-73.9552993774414
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201611.nc,41.38600158691406,-73.9552993774414
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201610.nc,41.38600158691406,-73.9552993774414
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201609.nc,41.38600158691406,-73.9552993774414
0,https://www.ncei.noaa.gov/thredds-ocean/dodsC/ioos/maracoos/hrecos-waf/HRWSTPTH/HRWSTPTH_d2_201608.nc,41.38600158691406,-73.9552993774414
