,latitude (degrees_north),longitude (degrees_east),url
61,30.3571,-88.4629,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_gndblwq
62,39.5079,-74.3385,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_jacb6wq
63,39.4902,-74.3816,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_jacb9wq
64,29.7021,-84.8802,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_apacpwq
65,33.3338636,-79.1930411,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_niwcbwq
66,37.346665,-76.611263,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_cbvcbwq
67,31.3896,-81.2789,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_sapdcwq
68,29.6747,-85.0583,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_apadbwq
69,30.4162,-87.8228,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_wkbfrwq
70,43.0722,-70.8694,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_grbgbwq
71,31.4786,-81.2731,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_saphdwq
72,39.5937,-74.5515,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_jacbawq
73,41.5526,-70.5485,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_wqbmhwq
74,30.3961,-87.8335,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_wkbmbwq
75,41.62485,-71.324283,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_narncwq
76,38.7813,-76.7137,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_cbmrrwq
77,41.5542,-70.5102,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_wqbslwq
78,32.5233,-80.3568,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_acespwq
79,17.938610999999998,-66.257736,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_job10wq
80,17.942914000000002,-66.228825,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_job19wq
81,17.930317000000002,-66.211472,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_job20wq
82,17.943669,-66.238486,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_job09wq
83,30.3808,-87.83200000000001,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_wkbwbwq
84,46.721771999999994,-92.06352,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_lksbawq
85,30.3836,-88.4364,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_gndbcwq
86,30.4178,-88.4054,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_gndbhwq
87,48.4963,-122.5005,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_pdbbywq
88,41.3483,-82.5083,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_owcbrwq
89,31.4437,-81.2399,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_sapcawq
90,39.5479,-74.4608,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_jacnewq
91,41.5798,-70.5309,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_wqbcrwq
92,28.1323,-97.0344,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_marcewq
93,41.364978,-82.504739,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_owcdrwq
94,33.3601486,-79.1674572,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_niwdcwq
95,39.1637,-75.5191,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_deldswq
96,29.7858,-84.8752,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_apaebwq
97,33.9399,-77.9411,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_nocecwq
98,32.50399,-80.3247,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_aceeiwq
99,43.296501,-124.31072900000001,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_sosecwq
100,25.9005,-81.5159,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_rkbfuwq
101,25.8922,-81.477,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_rkbfbwq
102,32.6358,-80.3655,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_acefcwq
103,29.737040999999998,-81.245953,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_gtmfmwq
104,48.5583,-122.5725,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_pdbgswq
105,37.215796000000005,-76.392675,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_cbvgiwq
106,43.298347,-70.587094,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_welhtwq
107,32.6209,-80.3965,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_acejiwq
108,43.08,-70.9344,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_grblrwq
109,34.1722,-77.8328,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_noclcwq
110,31.4177,-81.2961,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_sapldwq
111,41.3819,-82.5142,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_owcolwq
112,30.39,-87.8177,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_wkbmrwq
113,38.7433,-76.7074,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_cbmmcwq
114,41.5689,-70.5216,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_wqbmpwq
115,32.5558,-80.438,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_acemcwq
116,33.3493511,-79.1888819,https://erddap.sensors.ioos.us/erddap/tabledap/nerrs_niwolwq
